Postcode,Latitude,Longitude
IG11 8TG,51.541356,0.083857271
RM8 3XB,51.552247,0.1294038
IG11 7YG,51.533145,0.093474449
RM6 6PB,51.571532,0.13356645
IG11 0BD,51.526831,0.087490155
RM9 4TP,51.539783,0.12791337
RM8 3YA,51.559706,0.12566937
IG11 9NR,51.538621,0.11056893
RM9 6DR,51.538841,0.12972973
IG11 7BT,51.532147,0.075751642
IG11 9UJ,51.542216,0.08908836
RM6 5EP,51.582392,0.13674551
IG11 8SF,51.541343,0.084563345
RM10 9HU,51.534808,0.15216548
RM10 7RE,51.554263,0.14851089
RM8 2HH,51.548483,0.12120848
IG11 7XL,51.531912,0.093028578
RM10,51.554182,0.16809698
RM9,51.544049,0.12227137
RM10 9HP,51.536577,0.15085018
IG11 9,51.541286,0.098390786
RM10 9TU,51.537827,0.16258964
RM10 7AP,51.55514,0.16635375
RM8 1LS,51.564434,0.14950977
RM9 4,51.544049,0.12227137
RM6 5LL,51.584635,0.13702397
RM10 9RR,51.540066,0.15673988
IG11 9TG,51.538848,0.086814298
RM8 1UP,51.562983,0.12700528
RM10 9HP,51.536577,0.15085018
IG11 7QD,51.536011,0.086583559
IG11 0PL,51.529295,0.10308735
RM8 2UB,51.552286,0.11528368
RM10,51.554182,0.16809698
RM9,51.544049,0.12227137
IG11 7DP,51.532925,0.086154058
RM8 3XB,51.552247,0.1294038
IG11 8PR,51.54266,0.07726841
IG11 0TT,51.531221,0.12548108
IG11 7BT,51.532147,0.075751642
RM10 8AU,51.539985,0.16746535
RM7 0TB,51.561273,0.17514321
RM10 7YT,51.551362,0.15518262
IG11 0DR,51.521279,0.098782664
RM8 2AJ,51.551396,0.11527123
RM10 8UJ,51.542933,0.17337427
RM6 6QT,51.572488,0.14131754
IG11 9XP,51.538667,0.087930785
IG11 9TG,51.538848,0.086814298
IG11 8PZ,51.543656,0.073318866
RM9,51.544049,0.12227137
RM10 7XX,51.551476,0.15094713
RM6 6RS,51.575632,0.14005094
IG11 0XF,51.526896,0.12145918
RM8 1HX,51.567965,0.1457514
RM9 4LJ,51.539586,0.1268803
RM10 9TP,51.536981,0.16063169
RM10 9JL,51.534514,0.14954173
IG11 7QE,51.537219,0.083884583
RM10 7XX,51.551476,0.15094713
RM6 4BE,51.570084,0.13061252
RM10 7TB,51.54844,0.16587677
IG11 7DP,51.532925,0.086154058
RM10 8BA,51.540694,0.17046982
IG11 8QQ,51.542441,0.079479375
RM6 5QR,51.590282,0.13954116
RM10 7SA,51.555888,0.1486596
RM8 2YJ,51.547892,0.12056078
RM9 6YQ,51.531695,0.13894115
RM10 8SE,51.543254,0.16377002
RM6 6RJ,51.57356,0.1417287
RM10 8AH,51.542955,0.16537109
IG11 0NS,51.529444,0.10028279
RM9 4LX,51.544027,0.12046759
